Manufacturer,Model,Engine size,Fuel type,Year of manufacture, Mileage , Price 
VW,Passat,1.6,Diesel,1991," 165,322 "," 2,186 "
Toyota,RAV4,2.2,Hybrid,2000," 12,245 "," 18,184 "
Toyota,Yaris,1.2,Hybrid,2021," 13,737 "," 35,361 "
VW,Polo,2,Petrol,2019," 25,388 "," 27,682 "
VW,Golf,1.8,Diesel,1994," 94,438 "," 3,961 "
Ford,Focus,1.6,Petrol,1996," 170,763 "," 2,652 "
Porsche,718 Cayman,2,Petrol,2012," 97,393 "," 20,537 "
Toyota,Yaris,1.4,Petrol,2018," 29,265 "," 23,912 "
VW,Polo,1.4,Petrol,2001," 216,561 "," 1,642 "
Toyota,Yaris,1.2,Petrol,2011," 70,457 "," 10,746 "
Porsche,911,3.5,Petrol,1991," 66,112 "," 14,679 "
Toyota,Yaris,1,Petrol,2016," 26,137 "," 18,004 "
Ford,Focus,1.8,Diesel,2017," 42,690 "," 30,817 "
BMW,Z4,2.4,Petrol,2022," 5,639 "," 64,236 "
Toyota,Yaris,1.4,Hybrid,1990," 180,636 "," 1,464 "
Toyota,Prius,1.8,Hybrid,1999," 206,392 "," 3,141 "
Ford,Focus,1.6,Diesel,2019," 24,200 "," 36,976 "
BMW,M5,5,Petrol,1991," 221,986 "," 4,268 "
Toyota,Prius,1.8,Hybrid,1991," 47,087 "," 6,289 "
Ford,Fiesta,1,Petrol,2012," 46,135 "," 10,585 "
VW,Golf,1.4,Diesel,1992," 127,561 "," 2,383 "
VW,Passat,1.6,Diesel,1997," 181,847 "," 2,834 "
BMW,X3,3,Diesel,2018," 49,834 "," 47,169 "
Ford,Fiesta,1.2,Petrol,2010," 82,499 "," 7,997 "
Toyota,Yaris,1.4,Hybrid,1991," 172,937 "," 1,672 "
Toyota,Yaris,1.2,Hybrid,2016," 60,954 "," 19,159 "
Toyota,RAV4,2,Hybrid,2004," 124,471 "," 10,783 "
BMW,X3,2,Diesel,1997," 249,994 "," 1,906 "
Ford,Mondeo,2,Diesel,1987," 286,299 ", 595 
Ford,Focus,1.4,Diesel,2001," 129,253 "," 5,103 "
Toyota,RAV4,2.4,Hybrid,1991," 114,686 "," 5,352 "
Ford,Focus,1.8,Petrol,2003," 56,093 "," 10,619 "
VW,Golf,2,Petrol,2011," 6,000 "," 21,396 "
BMW,M5,5,Petrol,1992," 323,983 "," 1,755 "
Ford,Focus,1,Diesel,1990," 203,469 "," 1,111 "
VW,Passat,1.6,Diesel,1998," 192,108 "," 2,772 "
Toyota,Prius,1,Hybrid,2019," 25,780 "," 34,375 "
VW,Polo,1.6,Petrol,1992," 204,786 "," 1,070 "
Toyota,Prius,1.4,Hybrid,2009," 31,268 "," 20,238 "
VW,Polo,1,Petrol,2009," 84,578 "," 6,908 "
Toyota,Prius,1.8,Hybrid,2019," 26,951 "," 45,815 "
Toyota,Prius,1.8,Hybrid,2014," 49,042 "," 28,792 "
Toyota,Prius,1.4,Hybrid,2007," 104,098 "," 10,941 "
Toyota,Prius,1.4,Hybrid,1996," 77,408 "," 6,355 "
VW,Golf,1.8,Petrol,2009," 109,944 "," 9,151 "
VW,Golf,1.8,Petrol,2012," 73,234 "," 14,525 "
Ford,Mondeo,2,Diesel,2011," 38,395 "," 22,139 "
Toyota,Prius,1.8,Hybrid,2003," 90,320 "," 10,501 "
VW,Polo,1.2,Petrol,2017," 53,409 "," 15,875 "
Toyota,Prius,1.4,Hybrid,2005," 137,724 "," 7,391 "
VW,Golf,2,Diesel,2021," 8,087 "," 43,287 "
Toyota,RAV4,2.2,Petrol,1993," 184,766 "," 2,756 "
VW,Passat,1.8,Diesel,2018," 29,621 "," 37,247 "
VW,Golf,1.6,Petrol,2009," 72,582 "," 11,261 "
VW,Passat,1.4,Petrol,2019," 18,890 "," 35,513 "
Toyota,RAV4,2.2,Petrol,1995," 208,487 "," 2,557 "
Ford,Focus,2,Diesel,1998," 123,353 "," 5,228 "
Ford,Fiesta,1.4,Petrol,1991," 156,207 "," 1,384 "
Toyota,Prius,1,Hybrid,1994," 112,795 "," 3,642 "
VW,Passat,1.8,Diesel,1992," 39,615 "," 6,207 "
Toyota,Prius,1.8,Hybrid,1997," 139,267 "," 4,856 "
Ford,Focus,1.6,Diesel,2016," 61,006 "," 24,233 "
VW,Passat,1.4,Diesel,2008," 113,304 "," 9,633 "
VW,Polo,1.4,Diesel,1991," 145,901 "," 1,623 "
Toyota,Yaris,1.4,Hybrid,2005," 58,982 "," 10,067 "
Toyota,Prius,1.8,Hybrid,2000," 174,376 "," 4,437 "
Ford,Mondeo,2,Diesel,2016," 51,059 "," 28,601 "
Toyota,Yaris,1.4,Petrol,2005," 111,198 "," 5,821 "
VW,Passat,1.8,Diesel,1997," 140,421 "," 4,245 "
Ford,Fiesta,1.4,Petrol,2002," 131,404 "," 3,522 "
VW,Polo,2,Petrol,2018," 30,228 "," 25,193 "
Ford,Focus,1.6,Petrol,1992," 157,812 "," 2,264 "
Toyota,Prius,1.4,Hybrid,2016," 32,938 "," 31,962 "
Toyota,Yaris,1.2,Petrol,1991," 103,450 "," 2,245 "
Ford,Mondeo,1.8,Diesel,2019," 10,117 "," 41,948 "
Toyota,Yaris,1.4,Petrol,2011," 99,624 "," 9,462 "
Ford,Focus,1,Petrol,2014," 35,503 "," 18,695 "
Ford,Focus,2,Petrol,1993," 236,635 "," 1,356 "
Ford,Mondeo,1.8,Diesel,1996," 202,468 "," 2,224 "
Ford,Fiesta,1,Petrol,2007," 48,869 "," 7,458 "
Ford,Focus,1.8,Petrol,2005," 74,439 "," 10,755 "
BMW,M5,5,Petrol,1987," 256,429 "," 2,384 "
VW,Passat,2,Diesel,2016," 51,527 "," 30,129 "
Toyota,Prius,1.8,Hybrid,1997," 161,316 "," 4,055 "
VW,Polo,2,Petrol,2019," 22,375 "," 28,153 "
VW,Passat,1.8,Diesel,2009," 72,319 "," 15,658 "
VW,Golf,1.6,Diesel,2000," 126,330 "," 4,385 "
VW,Passat,1.4,Diesel,2015," 67,299 "," 21,303 "
Toyota,RAV4,2,Hybrid,2000," 169,048 "," 5,751 "
Ford,Focus,1,Petrol,2006," 129,025 "," 5,742 "
Ford,Fiesta,1.4,Petrol,2007," 67,643 "," 7,823 "
VW,Polo,2,Diesel,2014," 37,356 "," 19,435 "
VW,Passat,2,Diesel,1998," 169,042 "," 3,778 "
BMW,X3,2,Petrol,1991," 194,849 "," 2,000 "
Ford,Fiesta,1.2,Petrol,1991," 291,741 ", 379 
VW,Golf,1.4,Petrol,1995," 281,418 ", 718 
Ford,Fiesta,1.4,Petrol,1997," 175,584 "," 1,755 "
BMW,X3,2.4,Petrol,2013," 34,795 "," 31,529 "
Ford,Fiesta,1.4,Petrol,1997," 227,371 "," 1,112 "
Porsche,911,2.2,Petrol,2001," 78,558 "," 20,846 "
Porsche,718 Cayman,2.4,Petrol,2001," 83,481 "," 11,930 "
Ford,Focus,1.8,Petrol,2019," 15,612 "," 39,157 "
Ford,Mondeo,2,Diesel,1995," 213,339 "," 1,991 "
Ford,Fiesta,1.2,Petrol,2000," 142,149 "," 2,620 "
VW,Golf,1.8,Petrol,2011," 27,009 "," 18,116 "
VW,Passat,2,Diesel,2016," 66,107 "," 27,433 "
Toyota,Yaris,1.4,Hybrid,2006," 107,081 "," 7,701 "
VW,Passat,1.6,Diesel,2006," 121,686 "," 8,453 "
Toyota,RAV4,1.8,Hybrid,2018," 42,780 "," 45,912 "
Ford,Mondeo,1.6,Hybrid,1996," 197,053 "," 2,513 "
Toyota,Yaris,1.2,Petrol,2004," 127,007 "," 4,466 "
VW,Polo,2,Petrol,2011," 36,346 "," 15,245 "
Ford,Mondeo,2,Diesel,2000," 141,343 "," 5,135 "
Toyota,Yaris,1,Petrol,2016," 30,889 "," 17,523 "
Toyota,Yaris,1.2,Petrol,1988," 180,368 ", 991 
Ford,Fiesta,1.2,Petrol,2000," 106,802 "," 3,446 "
VW,Passat,1.6,Diesel,2004," 145,825 "," 6,111 "
Toyota,Prius,1,Hybrid,2016," 39,944 "," 25,919 "
VW,Passat,1.8,Diesel,1999," 100,110 "," 6,612 "
VW,Polo,1.4,Petrol,2003," 148,210 "," 3,377 "
Toyota,Prius,1,Hybrid,2007," 114,509 "," 8,553 "
Toyota,RAV4,2,Hybrid,2001," 84,809 "," 11,837 "
Toyota,Prius,1,Hybrid,2000," 187,437 "," 2,956 "
Toyota,Prius,1,Hybrid,2000," 121,904 "," 5,068 "
Toyota,RAV4,2.4,Hybrid,1999," 105,587 "," 9,769 "
Ford,Fiesta,1,Diesel,1996," 168,251 "," 1,550 "
VW,Golf,1.6,Petrol,2001," 136,293 "," 4,127 "
BMW,Z4,2.4,Petrol,1991," 243,074 "," 1,353 "
Porsche,911,3,Petrol,1996," 201,184 "," 6,571 "
Porsche,718 Cayman,4,Petrol,2004," 101,847 "," 16,493 "
VW,Golf,1.6,Diesel,1997," 192,299 "," 2,077 "
Ford,Fiesta,1,Petrol,2001," 114,687 "," 3,169 "
Toyota,RAV4,2.4,Hybrid,2003," 109,859 "," 12,354 "
BMW,M5,4.4,Petrol,2003," 118,159 "," 21,350 "
BMW,X3,3,Diesel,2013," 70,086 "," 29,656 "
Ford,Focus,1.6,Diesel,2009," 94,574 "," 12,075 "
Toyota,Yaris,1.4,Petrol,2002," 91,399 "," 5,511 "
Toyota,RAV4,2.4,Hybrid,1988," 293,430 ", 917 
VW,Golf,1.4,Petrol,2004," 135,762 "," 4,736 "
Toyota,Yaris,1.2,Petrol,2000," 150,704 "," 2,830 "
Ford,Fiesta,1.4,Petrol,2016," 23,489 "," 18,674 "
VW,Golf,1.8,Petrol,1995," 153,174 "," 2,560 "
VW,Polo,2,Petrol,2009," 90,092 "," 9,397 "
Toyota,Prius,1.8,Hybrid,1995," 140,770 "," 4,199 "
VW,Golf,2,Diesel,2009," 64,033 "," 13,992 "
Toyota,Yaris,1.4,Petrol,2006," 148,166 "," 4,655 "
Toyota,RAV4,2.2,Petrol,2000," 170,734 "," 4,955 "
Toyota,Prius,1.4,Hybrid,1994," 233,219 "," 1,559 "
Toyota,Yaris,1.2,Petrol,2019," 14,052 "," 25,745 "
Ford,Mondeo,1.8,Diesel,2018," 39,417 "," 33,290 "
BMW,Z4,2,Petrol,2017," 20,568 "," 38,804 "
Ford,Fiesta,1.2,Petrol,1987," 168,547 ", 885 
Ford,Focus,1.6,Petrol,2021," 13,480 "," 42,668 "
BMW,X3,2,Petrol,2011," 57,161 "," 21,962 "
VW,Polo,1,Petrol,2019," 23,809 "," 19,748 "
Toyota,RAV4,2,Hybrid,1997," 257,710 "," 2,135 "
Ford,Focus,1.4,Petrol,2004," 67,853 "," 9,274 "
Ford,Mondeo,1.6,Diesel,1994," 105,741 "," 4,056 "
Ford,Mondeo,2,Diesel,1996," 182,754 "," 2,784 "
Ford,Focus,1.8,Petrol,2005," 36,535 "," 13,682 "
BMW,Z4,3,Petrol,2011," 75,816 "," 22,649 "
Ford,Focus,1.8,Diesel,1991," 96,407 "," 3,807 "
Porsche,718 Cayman,4,Petrol,2010," 71,237 "," 30,517 "
Ford,Fiesta,1.2,Petrol,2021," 7,274 "," 26,329 "
Ford,Fiesta,1.4,Petrol,2006," 55,162 "," 7,936 "
Ford,Focus,1.8,Hybrid,1993," 270,405 "," 1,129 "
VW,Passat,1.6,Petrol,2012," 83,208 "," 15,938 "
Ford,Fiesta,1.4,Petrol,2005," 64,052 "," 7,010 "
VW,Golf,1.6,Petrol,2015," 18,894 "," 23,332 "
Ford,Fiesta,1.4,Petrol,2014," 75,133 "," 11,864 "
VW,Passat,1.4,Petrol,1997," 170,248 "," 2,788 "
Ford,Mondeo,1.6,Diesel,1994," 57,517 "," 5,665 "
BMW,M5,5,Petrol,2016," 18,097 "," 104,908 "
Porsche,718 Cayman,2,Petrol,2009," 74,117 "," 19,799 "
VW,Passat,1.6,Diesel,1993," 189,701 "," 2,028 "
BMW,Z4,3,Petrol,2017," 34,953 "," 43,791 "
VW,Polo,1.6,Petrol,1993," 181,151 "," 1,406 "
VW,Polo,1.2,Petrol,2000," 235,017 "," 1,203 "
BMW,Z4,2,Petrol,2009," 96,610 "," 13,983 "
Porsche,Cayenne,4,Petrol,2004," 107,223 "," 18,767 "
Ford,Fiesta,1,Petrol,1994," 108,395 "," 2,084 "
BMW,X3,3,Diesel,2011," 83,806 "," 23,632 "
Porsche,718 Cayman,2.4,Petrol,2000," 81,813 "," 11,291 "
VW,Golf,1.8,Diesel,1994," 160,405 "," 2,368 "
Ford,Mondeo,1.6,Diesel,1999," 93,083 "," 6,209 "
VW,Golf,1.2,Petrol,2000," 114,202 "," 3,971 "
Toyota,Prius,1,Hybrid,2022," 5,361 "," 46,869 "
VW,Polo,1.6,Petrol,2001," 141,640 "," 3,332 "
Ford,Focus,2,Petrol,2000," 128,078 "," 5,484 "
Ford,Mondeo,1.6,Diesel,2016," 75,707 "," 21,777 "
VW,Golf,1.6,Diesel,1992," 293,143 ", 590 
Porsche,Cayenne,4,Petrol,2012," 50,971 "," 47,081 "
Toyota,Prius,1,Hybrid,1997," 124,306 "," 4,073 "
Ford,Fiesta,1.2,Petrol,2001," 20,328 "," 6,472 "
Toyota,RAV4,2.2,Hybrid,2014," 34,448 "," 40,853 "
Toyota,Yaris,1.4,Hybrid,2016," 67,486 "," 19,827 "
Porsche,718 Cayman,2.4,Petrol,2009," 98,599 "," 18,258 "
VW,Golf,1.4,Diesel,2009," 80,220 "," 10,499 "
Toyota,Prius,1,Hybrid,1984," 302,522 ", 354 
Ford,Mondeo,1.6,Diesel,1989," 254,613 ", 819 
Toyota,RAV4,2.4,Hybrid,2004," 104,616 "," 13,732 "
VW,Passat,1.4,Diesel,1998," 192,820 "," 2,577 "
Toyota,Yaris,1,Petrol,2009," 74,884 "," 8,333 "
Toyota,RAV4,1.8,Hybrid,2018," 16,258 "," 53,449 "
VW,Polo,1.6,Petrol,2001," 107,952 "," 4,329 "
VW,Golf,2,Petrol,1995," 124,215 "," 3,401 "
VW,Polo,1.6,Petrol,1997," 191,158 "," 1,684 "
Toyota,RAV4,1.8,Hybrid,2000," 206,390 "," 3,947 "
VW,Polo,1.6,Petrol,2001," 163,687 "," 2,780 "
Ford,Mondeo,1.6,Diesel,2015," 48,917 "," 24,253 "
Ford,Focus,1,Petrol,1987," 191,323 ", 964 
VW,Polo,1.6,Diesel,1999," 108,730 "," 3,955 "
Toyota,RAV4,2.2,Hybrid,2014," 64,601 "," 33,876 "
VW,Golf,1.8,Petrol,1994," 130,142 "," 2,882 "
VW,Polo,1.6,Diesel,2017," 43,848 "," 20,421 "
Toyota,Yaris,1,Hybrid,1998," 88,126 "," 4,381 "
VW,Polo,1.4,Petrol,2007," 130,507 "," 5,081 "
Ford,Mondeo,1.8,Diesel,2017," 42,313 "," 30,606 "
Toyota,RAV4,1.8,Hybrid,2009," 139,996 "," 12,630 "
Toyota,Prius,1.4,Hybrid,1997," 172,678 "," 3,250 "
VW,Golf,1.8,Diesel,2018," 30,835 "," 29,678 "
Ford,Fiesta,1,Petrol,1995," 245,221 ", 698 
Ford,Mondeo,2,Diesel,2006," 60,681 "," 13,812 "
Ford,Mondeo,1.8,Diesel,2014," 62,993 "," 22,003 "
BMW,X3,2,Petrol,1989," 227,215 "," 1,312 "
Toyota,Yaris,1.2,Hybrid,1999," 149,822 "," 3,200 "
VW,Golf,1.8,Petrol,2005," 141,977 "," 5,462 "
BMW,Z4,2,Petrol,1992," 259,074 "," 1,138 "
Ford,Mondeo,1.8,Diesel,2016," 33,896 "," 30,100 "
Ford,Focus,2,Diesel,2019," 17,017 "," 43,011 "
Porsche,911,2.6,Petrol,2018," 29,307 "," 96,048 "
BMW,M5,4,Petrol,2013," 45,946 "," 65,379 "
Toyota,Yaris,1.4,Hybrid,1996," 175,225 "," 2,288 "
VW,Passat,1.8,Diesel,1995," 169,499 "," 2,923 "
Ford,Fiesta,1.4,Petrol,1992," 241,753 ", 698 
Ford,Focus,1.4,Petrol,2011," 82,694 "," 13,370 "
Toyota,Yaris,1.2,Petrol,1986," 160,296 "," 1,028 "
Ford,Mondeo,1.8,Diesel,2004," 141,667 "," 6,344 "
VW,Passat,1.8,Diesel,2019," 18,017 "," 42,484 "
Ford,Fiesta,1,Petrol,1993," 286,577 ", 415 
Ford,Focus,1.8,Diesel,2001," 110,990 "," 6,658 "
Ford,Focus,1.4,Petrol,2004," 91,220 "," 7,895 "
Toyota,Prius,1.4,Hybrid,1996," 98,507 "," 5,475 "
VW,Polo,1.6,Petrol,2017," 45,774 "," 19,221 "
BMW,Z4,2,Petrol,2010," 66,648 "," 18,397 "
Toyota,Prius,1,Hybrid,1995," 57,740 "," 5,724 "
VW,Polo,1.2,Diesel,2015," 59,663 "," 14,017 "
VW,Polo,1.4,Diesel,2014," 69,295 "," 13,297 "
Ford,Fiesta,1.4,Petrol,2002," 106,734 "," 4,256 "
VW,Passat,2,Diesel,1997," 142,327 "," 4,407 "
Ford,Fiesta,1.2,Petrol,2007," 110,402 "," 5,350 "
Toyota,RAV4,2,Hybrid,2020," 29,005 "," 59,970 "
VW,Polo,1.2,Petrol,2016," 38,935 "," 16,230 "
Ford,Focus,1.6,Petrol,1992," 148,460 "," 2,445 "
VW,Golf,1.2,Hybrid,2012," 32,124 "," 18,426 "
Ford,Focus,2,Petrol,2015," 43,230 "," 26,987 "
Ford,Mondeo,1.8,Diesel,1997," 128,287 "," 4,424 "
Toyota,Yaris,1,Hybrid,1996," 146,274 "," 2,461 "
Ford,Focus,1.4,Diesel,2017," 22,718 "," 30,522 "
VW,Passat,1.6,Diesel,2000," 184,851 "," 3,374 "
VW,Polo,1.2,Petrol,2013," 70,151 "," 10,906 "
VW,Passat,1.8,Diesel,2011," 85,364 "," 16,357 "
VW,Passat,2,Petrol,1992," 255,865 "," 1,113 "
Toyota,Prius,1,Hybrid,1991," 177,585 "," 1,766 "
Toyota,RAV4,2.2,Hybrid,2004," 112,865 "," 12,361 "
BMW,Z4,2.4,Petrol,2004," 18,187 "," 18,103 "
Ford,Mondeo,2,Diesel,2017," 48,528 "," 31,058 "
VW,Polo,1,Petrol,1997," 197,078 "," 1,264 "
BMW,X3,3,Diesel,2009," 87,509 "," 20,151 "
Toyota,Yaris,1,Hybrid,2015," 28,659 "," 19,924 "
VW,Passat,1.8,Diesel,1997," 174,462 "," 3,203 "
VW,Passat,1.6,Diesel,2005," 98,719 "," 9,396 "
VW,Passat,1.8,Petrol,2010," 73,959 "," 15,765 "
Ford,Mondeo,1.4,Diesel,2000," 94,048 "," 6,165 "
VW,Polo,1.6,Petrol,1993," 143,620 "," 1,924 "
Toyota,Prius,1,Hybrid,1987," 242,443 ", 759 
Ford,Focus,1.4,Petrol,1989," 153,134 "," 1,802 "
Ford,Mondeo,1.6,Diesel,1987," 173,420 "," 1,480 "
Ford,Fiesta,1.4,Petrol,1993," 217,948 ", 927 
Ford,Focus,2,Petrol,2009," 58,035 "," 16,494 "
VW,Golf,1.4,Petrol,2002," 114,415 "," 4,893 "
VW,Golf,2,Diesel,2019," 17,324 "," 36,068 "
Ford,Mondeo,1.4,Diesel,1999," 174,855 "," 3,044 "
VW,Polo,1.2,Petrol,2010," 93,242 "," 7,608 "
VW,Golf,1.4,Petrol,2014," 44,610 "," 17,594 "
Toyota,Prius,1.4,Hybrid,2015," 29,538 "," 30,494 "
Ford,Mondeo,1.8,Diesel,2009," 106,264 "," 11,650 "
BMW,Z4,3,Petrol,2009," 93,394 "," 17,528 "
BMW,X3,2,Diesel,2007," 36,974 "," 19,999 "
Toyota,Prius,1,Hybrid,2015," 55,137 "," 22,079 "
VW,Passat,1.8,Diesel,1988," 177,453 "," 1,713 "
VW,Golf,2,Petrol,1995," 84,852 "," 4,550 "
VW,Polo,1.6,Petrol,2007," 109,322 "," 6,392 "
BMW,Z4,2.2,Petrol,2012," 37,481 "," 26,472 "
BMW,Z4,2.4,Petrol,2000," 154,408 "," 5,365 "
VW,Polo,1,Petrol,1998," 194,983 "," 1,376 "
Ford,Fiesta,1,Petrol,2019," 21,698 "," 19,469 "
Toyota,Yaris,1,Petrol,2008," 84,490 "," 7,296 "
Ford,Fiesta,1.4,Petrol,2020," 14,236 "," 25,647 "
Ford,Focus,2,Petrol,2004," 29,586 "," 14,048 "
VW,Passat,1.4,Diesel,2010," 71,070 "," 14,885 "
Ford,Mondeo,2,Diesel,2016," 39,813 "," 30,638 "
Ford,Mondeo,1.8,Diesel,2006," 90,545 "," 10,694 "
VW,Polo,1.4,Petrol,2018," 29,100 "," 21,215 "
Porsche,718 Cayman,2,Petrol,2002," 140,207 "," 7,597 "
VW,Golf,1.4,Hybrid,2006," 61,440 "," 11,141 "
Toyota,Yaris,1,Hybrid,2008," 78,865 "," 9,103 "
Ford,Focus,1.8,Petrol,1999," 98,420 "," 6,090 "
Ford,Fiesta,1,Petrol,2005," 90,004 "," 4,962 "
VW,Polo,1.6,Petrol,2012," 49,301 "," 13,476 "
Ford,Focus,1.6,Petrol,1997," 161,626 "," 3,061 "
Ford,Mondeo,2,Diesel,1989," 254,287 ", 919 
VW,Passat,2,Diesel,2004," 81,948 "," 11,073 "
Toyota,RAV4,1.8,Hybrid,1992," 221,872 "," 2,016 "
VW,Golf,1.2,Hybrid,2011," 43,105 "," 16,151 "
Ford,Focus,1.6,Petrol,1991," 134,527 "," 2,558 "
VW,Polo,1.2,Petrol,2005," 79,277 "," 6,013 "
VW,Golf,1.4,Petrol,2009," 115,425 "," 7,743 "
VW,Passat,1.4,Diesel,2002," 137,601 "," 5,345 "
VW,Golf,1.2,Diesel,2003," 150,997 "," 3,808 "
Ford,Fiesta,1.2,Petrol,2009," 86,983 "," 7,250 "
Toyota,Yaris,1,Hybrid,2010," 98,204 "," 9,071 "
Toyota,Yaris,1.2,Hybrid,2007," 108,928 "," 7,516 "
VW,Polo,1.4,Petrol,2018," 13,990 "," 23,066 "
Ford,Fiesta,1.4,Petrol,2017," 37,048 "," 18,464 "
Toyota,RAV4,2.4,Hybrid,1988," 256,291 "," 1,301 "
Ford,Focus,1.8,Petrol,1995," 139,182 "," 3,414 "
Toyota,Yaris,1.2,Petrol,2013," 51,518 "," 13,882 "
Ford,Focus,1.8,Diesel,2004," 125,116 "," 7,299 "
Toyota,Prius,1.8,Hybrid,2003," 200,597 "," 4,317 "
VW,Polo,1.6,Petrol,2015," 69,381 "," 14,463 "
Toyota,Yaris,1.4,Hybrid,2021," 13,087 "," 38,327 "
VW,Polo,1.4,Petrol,1989," 297,422 ", 348 
Toyota,Yaris,1.4,Hybrid,2009," 71,538 "," 12,102 "
Toyota,Yaris,1.2,Petrol,1992," 81,452 "," 2,809 "
Ford,Focus,1.6,Hybrid,1994," 181,477 "," 2,541 "
Ford,Focus,1.6,Petrol,2003," 112,974 "," 6,729 "
Ford,Focus,1,Petrol,1997," 206,910 "," 1,637 "
Ford,Fiesta,1.4,Hybrid,2015," 50,306 "," 17,890 "
VW,Passat,1.6,Diesel,1995," 77,519 "," 5,604 "
Toyota,RAV4,2.2,Hybrid,2004," 129,250 "," 10,895 "
Ford,Fiesta,1.4,Petrol,2015," 67,398 "," 13,357 "
BMW,Z4,3,Petrol,2020," 19,622 "," 58,351 "
Ford,Focus,1.8,Petrol,2017," 44,307 "," 29,063 "
VW,Polo,2,Petrol,2000," 112,578 "," 4,373 "
BMW,X3,2.4,Diesel,2014," 53,701 "," 31,540 "
Porsche,718 Cayman,2.4,Petrol,2020," 17,262 "," 63,933 "
VW,Passat,1.4,Diesel,2020," 17,584 "," 40,145 "
Toyota,Yaris,1.4,Petrol,2018," 32,710 "," 23,442 "
BMW,Z4,2.2,Petrol,2004," 169,327 "," 5,922 "
VW,Golf,1.2,Diesel,2020," 20,813 "," 29,299 "
VW,Polo,1.6,Petrol,1999," 192,938 "," 1,894 "
VW,Golf,1.6,Petrol,2005," 120,820 "," 6,083 "
BMW,X3,3,Diesel,2014," 59,167 "," 34,056 "
Ford,Mondeo,1.8,Diesel,1989," 228,685 "," 1,102 "
Ford,Focus,1.8,Petrol,2015," 46,861 "," 25,041 "
VW,Polo,1.4,Diesel,2011," 68,787 "," 10,923 "
Ford,Mondeo,1.8,Hybrid,1991," 156,853 "," 2,692 "
BMW,Z4,3,Petrol,2021," 16,353 "," 63,494 "
Ford,Mondeo,1.8,Diesel,2013," 63,108 "," 20,569 "
Toyota,Yaris,1.2,Hybrid,2017," 26,256 "," 25,282 "
VW,Polo,1.2,Petrol,1991," 16,000 "," 3,492 "
VW,Golf,1.4,Petrol,1997," 189,363 "," 1,898 "
Ford,Fiesta,1.2,Petrol,2009," 84,813 "," 7,361 "
Ford,Mondeo,1.8,Petrol,2019," 36,223 "," 34,539 "
VW,Golf,1.8,Petrol,1996," 169,775 "," 2,382 "
VW,Passat,1.4,Diesel,2017," 28,249 "," 30,972 "
Toyota,Yaris,1,Hybrid,1992," 240,460 ", 830 
Toyota,Yaris,1.4,Hybrid,1995," 280,764 ", 824 
Ford,Mondeo,1.4,Diesel,1999," 121,052 "," 4,716 "
Ford,Fiesta,1.4,Petrol,1993," 131,096 "," 1,937 "
Ford,Fiesta,1,Petrol,1994," 63,296 "," 2,860 "
VW,Polo,1,Petrol,1997," 218,148 "," 1,048 "
VW,Golf,1.4,Diesel,1991," 159,686 "," 1,720 "
Ford,Focus,1.6,Petrol,1995," 183,559 "," 2,224 "
VW,Polo,1.6,Petrol,2007," 108,942 "," 6,410 "
VW,Polo,1.2,Petrol,1989," 267,147 ", 429 
Toyota,Yaris,1.4,Petrol,2013," 48,630 "," 15,266 "
Toyota,Prius,1,Hybrid,2015," 53,006 "," 22,378 "
BMW,Z4,2,Petrol,2006," 86,243 "," 12,328 "
VW,Passat,1.8,Diesel,2005," 96,845 "," 10,102 "
VW,Polo,2,Petrol,1999," 141,040 "," 3,276 "
Toyota,RAV4,2.4,Hybrid,2009," 71,582 "," 24,204 "
VW,Passat,1.4,Diesel,1994," 165,603 "," 2,492 "
VW,Polo,1,Diesel,2017," 20,186 "," 18,516 "
VW,Passat,1.6,Diesel,2010," 87,721 "," 14,189 "
VW,Passat,1.4,Diesel,1999," 174,932 "," 3,214 "
VW,Golf,1.6,Petrol,2001," 88,199 "," 5,930 "
Ford,Fiesta,1.2,Hybrid,2009," 75,266 "," 9,435 "
VW,Polo,1.4,Petrol,2015," 44,816 "," 15,828 "
VW,Passat,1.8,Diesel,2014," 92,899 "," 18,939 "
VW,Passat,1.6,Diesel,1999," 96,525 "," 6,399 "
BMW,M5,5,Petrol,2011," 87,843 "," 48,502 "
VW,Golf,1.8,Petrol,2001," 61,739 "," 7,528 "
Ford,Mondeo,2,Diesel,1992," 243,037 "," 1,245 "
Ford,Mondeo,1.6,Diesel,2013," 34,433 "," 23,161 "
Ford,Focus,1.4,Petrol,2017," 48,174 "," 25,030 "
Ford,Mondeo,1.6,Diesel,2014," 48,378 "," 22,764 "
Toyota,RAV4,2,Hybrid,1999," 189,328 "," 4,521 "
VW,Passat,2,Diesel,1993," 120,613 "," 4,005 "
BMW,M5,4,Petrol,1998," 207,050 "," 6,958 "
Ford,Fiesta,1.4,Petrol,2014," 25,890 "," 16,124 "
VW,Passat,1.8,Diesel,2012," 67,944 "," 19,692 "
VW,Passat,2,Diesel,2013," 58,488 "," 23,602 "
Ford,Focus,1,Petrol,2008," 55,300 "," 11,103 "
BMW,X3,3,Diesel,1986," 203,940 "," 1,701 "
VW,Golf,1.4,Petrol,2010," 97,331 "," 9,468 "
Toyota,RAV4,2.2,Hybrid,2004," 90,764 "," 14,539 "
Ford,Focus,1,Petrol,2015," 44,510 "," 18,935 "
Ford,Fiesta,1.2,Petrol,2009," 67,812 "," 8,266 "
Porsche,Cayenne,4,Petrol,2012," 84,093 "," 37,807 "
